id;pays;ville;code_postal;rue
1;CAMEROUN;discrete Bermudian Dollar (customarily known as Bermuda Dollar) Awesome;Strategist index bus;Credit Card Account
2;BURKINA_FASO;Awesome Metal Chips Personal Loan Account;holistic;Tugrik interface Assistant
3;CAMEROUN;Lights Rubber evolve;Avon monitor;extranet
4;CONGO_BRAZZAVILLE;initiative Idaho Borders;Unbranded Metal Pizza;Pizza Garden
5;BURKINA_FASO;application;Rhode Island indexing;Practical Steel Tuna Cambridgeshire
6;RWANDA;Fundamental;auxiliary;brand transmitter
7;CAMEROUN;Israel;Japan;Nauru Keyboard
8;BURKINA_FASO;circuit withdrawal;Borders transmit Games;alarm
9;BURKINA_FASO;Gorgeous Metal Fish;tertiary;Generic Credit Card Account capacitor
10;RWANDA;SCSI;West Virginia Reduced;Identity solid state
