id;date_creation;date_modification;nom;numero;actif
1;2020-10-17T01:17:19;2020-10-17T07:00:56;matrix Sao Tome and Principe;11909;false
2;2020-10-17T23:00:56;2020-10-17T18:17:29;Concrete;97742;true
3;2020-10-17T09:55:42;2020-10-17T07:24:20;Tuna bandwidth withdrawal;66055;false
4;2020-10-17T13:33:51;2020-10-16T23:45:24;navigate;29950;true
5;2020-10-17T04:30:21;2020-10-17T11:07:27;Falkland Islands Pound;76874;false
6;2020-10-17T20:14:18;2020-10-17T15:53:51;Networked encompassing;87628;false
7;2020-10-17T07:09:22;2020-10-17T14:08:45;Shirt invoice East Caribbean Dollar;97260;true
8;2020-10-17T08:29:42;2020-10-16T23:20:00;payment Planner;4821;false
9;2020-10-17T19:55:47;2020-10-17T20:10:31;Central African Republic Dalasi Configuration;7174;true
10;2020-10-17T15:11:55;2020-10-17T02:20:25;bypassing;62141;true
