id;description;longueur;largeur;hauteur;poids
1;navigate Ethiopian Birr Administrator;41136;25685;68601;37039
2;attitude;50718;27345;64725;69614
3;supply-chains Micronesia overriding;74428;95379;19066;63733
4;Investor Factors sexy;96587;29007;95562;30985
5;Paradigm Wooden;5940;70860;89240;63905
6;Cheese Refined Rubber Chair;14005;77636;82863;20610
7;Equatorial Guinea Table;8192;37845;8949;31208
8;web-enabled Credit Card Account Analyst;4600;95910;45223;60195
9;Burkina Faso Dynamic;29138;21400;92951;95327
10;panel Assistant;36105;97749;68570;9316
