id;date_creation;statut;reference;rapport_quai;rapport_livraisaon;montant
1;2020-09-25T06:36:46;LIVRER;olive;overriding Books;Cotton;91802
2;2020-09-26T05:29:44;EN_ATTENTE;override;Course;feed Fantastic Avon;8280
3;2020-09-26T03:04:22;LIVRER;Soft enterprise haptic;Mexican Peso Mexican Unidad de Inversion (UDI) Licensed Cotton Table;systematic;27215
4;2020-09-25T08:50:24;ARRIVER_ET_SCANNER_AU_DEPOT;mobile Strategist;SSL CSS;SMS;97045
5;2020-09-25T10:56:25;LIVRER;groupware Program;Awesome Fresh Salad;Minnesota Accountability;21113
6;2020-09-25T07:39:09;PRISE_EN_CHARGE;Cambridgeshire;bypassing info-mediaries primary;Tasty;72205
7;2020-09-26T02:44:22;ARRIVER_ET_SCANNER_AU_DEPOT;tan Paradigm;Path;Buckinghamshire magenta;51742
8;2020-09-26T05:39:08;ARRIVER_ET_SCANNER_AU_DEPOT;Qatar yellow Open-source;Maine protocol Granite;Shirt knowledge base;51929
9;2020-09-25T21:30:32;LIVRER;Dynamic Enterprise-wide;Tanzanian Shilling bus Customizable;Rand;31330
10;2020-09-25T17:07:05;EN_LIVRAISON;matrix Personal Loan Account hack;Unbranded Metal Tuna Computer Tasty Cotton Bacon;wireless mobile cutting-edge;70408
